Date,Title,Description,Banner,Article Link,Author,Content
5 Mar 2026,Inside Ethiopia's 'smart' police station,"Ethiopia unveils its first unmanned, 'smart' police station where citizens can report crimes on automated touch screens.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/videos/cz9qqzqkk82o,Unknown,No content found
26 Feb 2026,Is Ethiopia heading back to war in Tigray?,Many people are again leaving the region of Tigray just over three years after the civil war there ended.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cwygrnjz9wro,26 February 2026ShareSaveAdd as preferred on GoogleKalkidan Yibeltal,Fears of a return to war in northern Ethiopia are driving many people to leave the region of Tigray just over three years after the civil war there en...
18 Feb 2026,Turkey's president rejects Israel's recognition of Somaliland,"He made the comment on an official visit to Ethiopia, saying it could prove dangerous for a volatile region.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c0lj0plkg09o,18 February 2026ShareSaveAdd as preferred on GoogleMichael TeferiBBC Africa,Turkey's President Recep Tayyip Erdogan has rejected Israel's recognition of the breakaway region of Somaliland as an independent nation. During a vis...
9 Feb 2026,Eritrea accuses Ethiopia of fabricating report its troops had crossed the border,Ethiopia had alleged that Eritrean soldiers were on its territory and supporting rebels in the north.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cn87lzrj1l7o,9 February 2026ShareSaveAdd as preferred on GoogleDamian Zane,"Eritrea has hit back at its neighbour Ethiopia describing accusations that its troops were on Ethiopian territory as ""false"". On Saturday, a letter se..."
3 Feb 2026,Ethiopia PM hits out at Eritrea over atrocities in Tigray,Abiy Ahmed admitted for the first time in parliament that Eritrean troops had killed people in Aksum.,https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c74vpdnj301o,3 February 2026ShareSaveAdd as preferred on GoogleMichael TeferiBBC Africa,"Ethiopia's Prime Minister Abiy Ahmed has hit out at Eritrea's army for committing atrocities during the two-year war in the northern Tigray region, wh..."
29 Jan 2026,Flights to northern Ethiopia cancelled as fears mount of renewed conflict,"Passengers received a text message about the cancellation of flights, citing ""unforeseen circumstances"".",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cn40r3v770lo,29 January 2026ShareSaveAdd as preferred on GoogleMichael TeferiBBC Africa,"Passenger flights between Ethiopia's capital, Addis Ababa, and cities in the northern Tigray region have been cancelled amid fears of a return to conf..."
19 Jan 2026,"Drums, chants and celebrations as Ethiopians mark the baptism of Jesus","The Ethiopian Orthodox festival of Timket, or Epiphany, commemorates the baptism of Jesus in the Jordan.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cr4k3p6x1q5o,19 January 2026ShareSaveAdd as preferred on GoogleDamian Zane,"Ethiopian Orthodox Christians have been celebrating the festival of Timket, or Epiphany, which commemorates the baptism of Jesus in the River Jordan. ..."
18 Jan 2026,'I want to show the world what Africa is': YouTube star brings joy and tears on tour,"""I love the love in Africa. The energy here is crazy,"" he says on his maiden tour of the continent.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/c5y5le7yl7po,18 January 2026ShareSaveAdd as preferred on GooglePenny Dale,"One of the world's most popular content creators has been attracting huge crowds, mostly his young fans, as he undertakes a 20-nation tour of Africa, ..."
15 Jan 2026,Ethiopia says seized ammunition sent by Eritrea to rebels as tensions rise,"Eritrea denies the claim and accuses Ethiopia of seeking a pretext to attack, amid fears of renewed conflict.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/czr46ypzl4yo,15 January 2026ShareSaveAdd as preferred on GoogleEmily Atkinson,"Ethiopian police say they have seized thousands of rounds of ammunition sent by Eritrea to a violent armed rebel group, stoking fears of renewed confl..."
6 Jan 2026,At least 22 Ethiopian migrants killed in 'horrific' road crash,"About 85 Ethiopian migrants were trying to leave the country when the accident occurred, authorities say.",https://static.files.bbci.co.uk/bbcdotcom/web/20260609-143108-fe43574f32-web-3.9.0-5/grey-placeholder.png,https://www.bbc.com/news/articles/cn82g8wwvn5o,6 January 2026ShareSaveAdd as preferred on GoogleMichael Teferi,"At least 22 migrants have been killed and 65 others injured after a lorry they were travelling in overturned in Ethiopia's north-eastern Afar region, ..."
